"coin_name","coin_url","coin_price","coin_volume"
"Gnosis","https://www.coingecko.com/tr/coins/gnosis","$84,92","$3.746.962"
"Celsius Network","https://www.coingecko.com/tr/coins/celsius-network-token","$0,519772","$1.120.652"
"Euro Tether","https://www.coingecko.com/tr/coins/euro-tether","$1,06","$899.431"
"Huobi BTC","https://www.coingecko.com/tr/coins/huobi-btc","$16.557,55","$35.462,47"
"Theta Fuel","https://www.coingecko.com/tr/coins/theta-fuel","$0,035226849280","$3.373.374"
"Rocket Pool ETH","https://www.coingecko.com/tr/coins/rocket-pool-eth","$1.256,39","$815.099"
"Qtum","https://www.coingecko.com/tr/coins/qtum","$1,98","$14.410.701"
"TerraClassicUSD","https://www.coingecko.com/tr/coins/terraclassicusd","$0,020720800138","$11.034.229"
"Balancer","https://www.coingecko.com/tr/coins/balancer","$5,30","$4.178.869"
"Band Protocol","https://www.coingecko.com/tr/coins/band-protocol","$1,66","$19.048.531"
"Bone ShibaSwap","https://www.coingecko.com/tr/coins/bone-shibaswap","$0,875577","$6.139.743"
"SwissBorg","https://www.coingecko.com/tr/coins/swissborg","$0,209446","$173.431"
"Aleph Zero","https://www.coingecko.com/tr/coins/aleph-zero","$0,955108","$545.803"
"Golem","https://www.coingecko.com/tr/coins/golem","$0,194730","$2.664.812"
"Optimism","https://www.coingecko.com/tr/coins/optimism","$0,909439","$59.288.450"
"dYdX","https://www.coingecko.com/tr/coins/dydx","$1,38","$39.709.409"
"Kadena","https://www.coingecko.com/tr/coins/kadena","$0,897147","$2.817.252"
"Oasis Network","https://www.coingecko.com/tr/coins/oasis-network","$0,037219414401","$12.643.737"
"IoTeX","https://www.coingecko.com/tr/coins/iotex","$0,019816500251","$3.343.639"
"Sushi","https://www.coingecko.com/tr/coins/sushi","$0,967254","$33.483.908"
"Liquity USD","https://www.coingecko.com/tr/coins/liquity-usd","$1,02","$1.137.412"
"yearn.finance","https://www.coingecko.com/tr/coins/yearn-finance","$5.621,29","$14.385.269"
"STEPN","https://www.coingecko.com/tr/coins/stepn","$0,300191","$51.426.973"
"Chia","https://www.coingecko.com/tr/coins/chia","$30,04","$4.223.424"
"BinaryX","https://www.coingecko.com/tr/coins/binaryx","$67,90","$13.777.867"
"Beldex","https://www.coingecko.com/tr/coins/beldex","$0,044341770934","$1.368.327"
"JUST","https://www.coingecko.com/tr/coins/just","$0,019946570015","$5.463.529"
"Amp","https://www.coingecko.com/tr/coins/amp","$0,003136951495","$4.159.344"
"Alchemix USD","https://www.coingecko.com/tr/coins/alchemix-usd","$0,986257","$410.297"
"Krypton DAO","https://www.coingecko.com/tr/coins/krypton-dao","$1,76","$52.239,92"
"IOST","https://www.coingecko.com/tr/coins/iost","$0,007067241510","$2.982.437"
"Moonbeam","https://www.coingecko.com/tr/coins/moonbeam","$0,341915","$3.859.939"
"Dogelon Mars","https://www.coingecko.com/tr/coins/dogelon-mars","$0,000000295335","$1.248.222"
"Baby Doge Coin","https://www.coingecko.com/tr/coins/baby-doge-coin","$0,000000000998","$1.929.913"
"Mask Network","https://www.coingecko.com/tr/coins/mask-network","$2,28","$66.997.287"
"Waves","https://www.coingecko.com/tr/coins/waves","$1,55","$45.305.479"
"Telcoin","https://www.coingecko.com/tr/coins/telcoin","$0,002287576426","$1.060.230"
"CoinEx","https://www.coingecko.com/tr/coins/coinex-token","$0,047162380477","$249.413"
"Agoric","https://www.coingecko.com/tr/coins/agoric","$0,547072","$902.703"
"Polymath","https://www.coingecko.com/tr/coins/polymath","$0,165598","$459.967"
"Energy Web","https://www.coingecko.com/tr/coins/energy-web","$3,26","$1.245.360"
"LINK","https://www.coingecko.com/tr/coins/link","$22,83","$1.056.691"
"Convex CRV","https://www.coingecko.com/tr/coins/convex-crv","$0,506348","$815.893"
"Astar","https://www.coingecko.com/tr/coins/astar","$0,037816997672","$1.528.213"
"GALA","https://www.coingecko.com/tr/coins/gala","$0,019309300700","$74.445.211"
"Bitkub Coin","https://www.coingecko.com/tr/coins/bitkub-coin","$1,63","$749.111"
"Ribbon Finance","https://www.coingecko.com/tr/coins/ribbon-finance","$0,242145","$407.676"
"Livepeer","https://www.coingecko.com/tr/coins/livepeer","$5,45","$3.489.497"
"Ankr","https://www.coingecko.com/tr/coins/ankr-network","$0,017505761618","$6.589.350"
"OMG Network","https://www.coingecko.com/tr/coins/omg-network","$1,00","$11.617.467"
